Year,City,Sport,Discipline,NOC,Event,Event gender,Medal
1936,Garmisch-Partenkirchen,Skating,Figure skating,AUT,pairs,X,Silver
1936,Garmisch-Partenkirchen,Skating,Speed skating,AUT,10000m,M,Bronze
1936,Garmisch-Partenkirchen,Ice Hockey,Ice Hockey,CAN,ice hockey,M,Silver
1936,Garmisch-Partenkirchen,Skating,Speed skating,FIN,10000m,M,Silver
1936,Garmisch-Partenkirchen,Skating,Speed skating,FIN,1500m,M,Bronze
1936,Garmisch-Partenkirchen,Skating,Speed skating,FIN,5000m,M,Bronze
1936,Garmisch-Partenkirchen,Skating,Speed skating,FIN,5000m,M,Silver
1936,Garmisch-Partenkirchen,Skiing,Cross Country S,FIN,18km,M,Bronze
1936,Garmisch-Partenkirchen,Skiing,Cross Country S,FIN,4x10km relay,M,Gold
1936,Garmisch-Partenkirchen,Skiing,Alpine Skiing,FRA,alpine combined,M,Bronze
1936,Garmisch-Partenkirchen,Bobsleigh,Bobsleigh,GBR,four-man,M,Bronze
1936,Garmisch-Partenkirchen,Ice Hockey,Ice Hockey,GBR,ice hockey,M,Gold
1936,Garmisch-Partenkirchen,Skating,Figure skating,GBR,individual,W,Silver
1936,Garmisch-Partenkirchen,Skating,Figure skating,GER,individual,M,Silver
1936,Garmisch-Partenkirchen,Skating,Figure skating,GER,pairs,X,Gold
1936,Garmisch-Partenkirchen,Skiing,Alpine Skiing,GER,alpine combined,M,Gold
1936,Garmisch-Partenkirchen,Skiing,Alpine Skiing,GER,alpine combined,M,Silver
1936,Garmisch-Partenkirchen,Skiing,Alpine Skiing,GER,alpine combined,W,Gold
1936,Garmisch-Partenkirchen,Skiing,Alpine Skiing,GER,alpine combined,W,Silver
1936,Garmisch-Partenkirchen,Skating,Figure skating,HUN,pairs,X,Bronze
1936,Garmisch-Partenkirchen,Skating,Figure skating,NOR,individual,W,Gold
1936,Garmisch-Partenkirchen,Skating,Speed skating,NOR,10000m,M,Gold
1936,Garmisch-Partenkirchen,Skating,Speed skating,NOR,1500m,M,Gold
1936,Garmisch-Partenkirchen,Skating,Speed skating,NOR,1500m,M,Silver
1936,Garmisch-Partenkirchen,Skating,Speed skating,NOR,5000m,M,Gold
1936,Garmisch-Partenkirchen,Skating,Speed skating,NOR,500m,M,Gold
1936,Garmisch-Partenkirchen,Skating,Speed skating,NOR,500m,M,Silver
1936,Garmisch-Partenkirchen,Skiing,Alpine Skiing,NOR,alpine combined,W,Bronze
1936,Garmisch-Partenkirchen,Skiing,Cross Country S,NOR,18km,M,Silver
1936,Garmisch-Partenkirchen,Skiing,Cross Country S,NOR,4x10km relay,M,Silver
1936,Garmisch-Partenkirchen,Skiing,Nordic Combined,NOR,individual,M,Bronze
1936,Garmisch-Partenkirchen,Skiing,Nordic Combined,NOR,individual,M,Gold
1936,Garmisch-Partenkirchen,Skiing,Nordic Combined,NOR,individual,M,Silver
1936,Garmisch-Partenkirchen,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Bronze
1936,Garmisch-Partenkirchen,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Gold
1936,Garmisch-Partenkirchen,Bobsleigh,Bobsleigh,SUI,four-man,M,Gold
1936,Garmisch-Partenkirchen,Bobsleigh,Bobsleigh,SUI,four-man,M,Silver
1936,Garmisch-Partenkirchen,Bobsleigh,Bobsleigh,SUI,two-man,M,Silver
1936,Garmisch-Partenkirchen,Skating,Figure skating,SWE,individual,W,Bronze
1936,Garmisch-Partenkirchen,Skiing,Cross Country S,SWE,18km,M,Gold
1936,Garmisch-Partenkirchen,Skiing,Cross Country S,SWE,4x10km relay,M,Bronze
1936,Garmisch-Partenkirchen,Skiing,Cross Country S,SWE,50km,M,Bronze
1936,Garmisch-Partenkirchen,Skiing,Cross Country S,SWE,50km,M,Gold
1936,Garmisch-Partenkirchen,Skiing,Cross Country S,SWE,50km,M,Silver
1936,Garmisch-Partenkirchen,Skiing,Ski Jumping,SWE,K90 individual (70m),M,Silver
1936,Garmisch-Partenkirchen,Bobsleigh,Bobsleigh,USA,two-man,M,Bronze
1936,Garmisch-Partenkirchen,Bobsleigh,Bobsleigh,USA,two-man,M,Gold
1936,Garmisch-Partenkirchen,Ice Hockey,Ice Hockey,USA,ice hockey,M,Bronze
1936,Garmisch-Partenkirchen,Skating,Speed skating,USA,500m,M,Bronze
1948,St. Moritz,Skating,Figure skating,AUT,individual,M,Bronze
1948,St. Moritz,Skating,Figure skating,AUT,individual,W,Silver
1948,St. Moritz,Skiing,Alpine Skiing,AUT,alpine combined,W,Bronze
1948,St. Moritz,Skiing,Alpine Skiing,AUT,alpine combined,W,Gold
1948,St. Moritz,Skiing,Alpine Skiing,AUT,downhill,M,Silver
1948,St. Moritz,Skiing,Alpine Skiing,AUT,downhill,W,Bronze
1948,St. Moritz,Skiing,Alpine Skiing,AUT,downhill,W,Silver
1948,St. Moritz,Skiing,Alpine Skiing,AUT,slalom,W,Bronze
1948,St. Moritz,Bobsleigh,Bobsleigh,BEL,four-man,M,Silver
1948,St. Moritz,Skating,Figure skating,BEL,pairs,X,Gold
1948,St. Moritz,Ice Hockey,Ice Hockey,CAN,ice hockey,M,Gold
1948,St. Moritz,Skating,Figure skating,CAN,individual,W,Gold
1948,St. Moritz,Skating,Figure skating,CAN,pairs,X,Bronze
1948,St. Moritz,Skating,Speed skating,FIN,10000m,M,Bronze
1948,St. Moritz,Skating,Speed skating,FIN,10000m,M,Silver
1948,St. Moritz,Skiing,Cross Country S,FIN,4x10km relay,M,Silver
1948,St. Moritz,Skiing,Cross Country S,FIN,50km,M,Bronze
1948,St. Moritz,Skiing,Nordic Combined,FIN,individual,M,Gold
1948,St. Moritz,Skiing,Nordic Combined,FIN,individual,M,Silver
1948,St. Moritz,Skiing,Alpine Skiing,FRA,alpine combined,M,Bronze
1948,St. Moritz,Skiing,Alpine Skiing,FRA,alpine combined,M,Gold
1948,St. Moritz,Skiing,Alpine Skiing,FRA,downhill,M,Gold
1948,St. Moritz,Skiing,Alpine Skiing,FRA,slalom,M,Bronze
1948,St. Moritz,Skiing,Alpine Skiing,FRA,slalom,M,Silver
1948,St. Moritz,Bobsleigh,Skeleton,GBR,individual,M,Bronze
1948,St. Moritz,Skating,Figure skating,GBR,individual,W,Bronze
1948,St. Moritz,Skating,Figure skating,HUN,pairs,X,Silver
1948,St. Moritz,Bobsleigh,Skeleton,ITA,individual,M,Gold
1948,St. Moritz,Skating,Speed skating,NOR,1500m,M,Bronze
1948,St. Moritz,Skating,Speed skating,NOR,1500m,M,Gold
1948,St. Moritz,Skating,Speed skating,NOR,5000m,M,Gold
1948,St. Moritz,Skating,Speed skating,NOR,5000m,M,Silver
1948,St. Moritz,Skating,Speed skating,NOR,500m,M,Gold
1948,St. Moritz,Skating,Speed skating,NOR,500m,M,Silver
1948,St. Moritz,Skiing,Cross Country S,NOR,4x10km relay,M,Bronze
1948,St. Moritz,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Bronze
1948,St. Moritz,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Gold
1948,St. Moritz,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Silver
1948,St. Moritz,Bobsleigh,Bobsleigh,SUI,two-man,M,Gold
1948,St. Moritz,Bobsleigh,Bobsleigh,SUI,two-man,M,Silver
1948,St. Moritz,Ice Hockey,Ice Hockey,SUI,ice hockey,M,Bronze
1948,St. Moritz,Skating,Figure skating,SUI,individual,M,Silver
1948,St. Moritz,Skiing,Alpine Skiing,SUI,alpine combined,M,Silver
1948,St. Moritz,Skiing,Alpine Skiing,SUI,downhill,M,Bronze
1948,St. Moritz,Skiing,Alpine Skiing,SUI,downhill,M,Bronze
1948,St. Moritz,Skiing,Alpine Skiing,SUI,downhill,W,Gold
1948,St. Moritz,Skiing,Alpine Skiing,SUI,slalom,M,Gold
1948,St. Moritz,Skiing,Alpine Skiing,SUI,slalom,W,Silver
1948,St. Moritz,Skating,Speed skating,SWE,10000m,M,Gold
1948,St. Moritz,Skating,Speed skating,SWE,1500m,M,Silver
1948,St. Moritz,Skating,Speed skating,SWE,5000m,M,Bronze
1948,St. Moritz,Skiing,Cross Country S,SWE,18km,M,Bronze
1948,St. Moritz,Skiing,Cross Country S,SWE,18km,M,Gold
1948,St. Moritz,Skiing,Cross Country S,SWE,18km,M,Silver
1948,St. Moritz,Skiing,Cross Country S,SWE,4x10km relay,M,Gold
1948,St. Moritz,Skiing,Cross Country S,SWE,50km,M,Gold
1948,St. Moritz,Skiing,Cross Country S,SWE,50km,M,Silver
1948,St. Moritz,Skiing,Nordic Combined,SWE,individual,M,Bronze
1948,St. Moritz,Ice Hockey,Ice Hockey,TCH,ice hockey,M,Silver
1948,St. Moritz,Bobsleigh,Bobsleigh,USA,four-man,M,Bronze
1948,St. Moritz,Bobsleigh,Bobsleigh,USA,four-man,M,Gold
1948,St. Moritz,Bobsleigh,Bobsleigh,USA,two-man,M,Bronze
1948,St. Moritz,Bobsleigh,Skeleton,USA,individual,M,Silver
1948,St. Moritz,Skating,Figure skating,USA,individual,M,Gold
1948,St. Moritz,Skating,Speed skating,USA,500m,M,Silver
1948,St. Moritz,Skating,Speed skating,USA,500m,M,Silver
1948,St. Moritz,Skiing,Alpine Skiing,USA,alpine combined,W,Silver
1948,St. Moritz,Skiing,Alpine Skiing,USA,slalom,W,Gold
1952,Oslo,Skating,Figure skating,AUT,individual,M,Silver
1952,Oslo,Skiing,Alpine Skiing,AUT,downhill,M,Bronze
1952,Oslo,Skiing,Alpine Skiing,AUT,downhill,M,Silver
1952,Oslo,Skiing,Alpine Skiing,AUT,downhill,W,Gold
1952,Oslo,Skiing,Alpine Skiing,AUT,giant slalom,M,Bronze
1952,Oslo,Skiing,Alpine Skiing,AUT,giant slalom,M,Silver
1952,Oslo,Skiing,Alpine Skiing,AUT,giant slalom,W,Silver
1952,Oslo,Skiing,Alpine Skiing,AUT,slalom,M,Gold
1952,Oslo,Ice Hockey,Ice Hockey,CAN,ice hockey,M,Gold
1952,Oslo,Skating,Speed skating,CAN,500m,M,Bronze
1952,Oslo,Skiing,Cross Country S,FIN,10km,W,Bronze
1952,Oslo,Skiing,Cross Country S,FIN,10km,W,Gold
1952,Oslo,Skiing,Cross Country S,FIN,10km,W,Silver
1952,Oslo,Skiing,Cross Country S,FIN,18km,M,Bronze
1952,Oslo,Skiing,Cross Country S,FIN,18km,M,Silver
1952,Oslo,Skiing,Cross Country S,FIN,4x10km relay,M,Gold
1952,Oslo,Skiing,Cross Country S,FIN,50km,M,Gold
1952,Oslo,Skiing,Cross Country S,FIN,50km,M,Silver
1952,Oslo,Skiing,Nordic Combined,FIN,individual,M,Silver
1952,Oslo,Skating,Figure skating,FRA,individual,W,Bronze
1952,Oslo,Bobsleigh,Bobsleigh,FRG,four-man,M,Gold
1952,Oslo,Bobsleigh,Bobsleigh,FRG,two-man,M,Gold
1952,Oslo,Skating,Figure skating,GBR,individual,W,Gold
1952,Oslo,Skating,Figure skating,GER,pairs,X,Gold
1952,Oslo,Skiing,Alpine Skiing,GER,downhill,W,Silver
1952,Oslo,Skiing,Alpine Skiing,GER,giant slalom,W,Bronze
1952,Oslo,Skiing,Alpine Skiing,GER,slalom,W,Bronze
1952,Oslo,Skiing,Alpine Skiing,GER,slalom,W,Silver
1952,Oslo,Skating,Figure skating,HUN,pairs,X,Bronze
1952,Oslo,Skiing,Alpine Skiing,ITA,downhill,M,Gold
1952,Oslo,Skiing,Alpine Skiing,ITA,downhill,W,Bronze
1952,Oslo,Skating,Speed skating,NED,10000m,M,Silver
1952,Oslo,Skating,Speed skating,NED,1500m,M,Silver
1952,Oslo,Skating,Speed skating,NED,5000m,M,Silver
1952,Oslo,Skating,Speed skating,NOR,10000m,M,Gold
1952,Oslo,Skating,Speed skating,NOR,1500m,M,Bronze
1952,Oslo,Skating,Speed skating,NOR,1500m,M,Gold
1952,Oslo,Skating,Speed skating,NOR,5000m,M,Bronze
1952,Oslo,Skating,Speed skating,NOR,5000m,M,Gold
1952,Oslo,Skating,Speed skating,NOR,500m,M,Bronze
1952,Oslo,Skiing,Alpine Skiing,NOR,giant slalom,M,Gold
1952,Oslo,Skiing,Alpine Skiing,NOR,slalom,M,Bronze
1952,Oslo,Skiing,Alpine Skiing,NOR,slalom,M,Silver
1952,Oslo,Skiing,Cross Country S,NOR,18km,M,Gold
1952,Oslo,Skiing,Cross Country S,NOR,4x10km relay,M,Silver
1952,Oslo,Skiing,Cross Country S,NOR,50km,M,Bronze
1952,Oslo,Skiing,Nordic Combined,NOR,individual,M,Bronze
1952,Oslo,Skiing,Nordic Combined,NOR,individual,M,Gold
1952,Oslo,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Gold
1952,Oslo,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Silver
1952,Oslo,Bobsleigh,Bobsleigh,SUI,four-man,M,Bronze
1952,Oslo,Bobsleigh,Bobsleigh,SUI,two-man,M,Bronze
1952,Oslo,Ice Hockey,Ice Hockey,SWE,ice hockey,M,Bronze
1952,Oslo,Skating,Speed skating,SWE,10000m,M,Bronze
1952,Oslo,Skiing,Cross Country S,SWE,4x10km relay,M,Bronze
1952,Oslo,Skiing,Ski Jumping,SWE,K90 individual (70m),M,Bronze
1952,Oslo,Bobsleigh,Bobsleigh,USA,four-man,M,Silver
1952,Oslo,Bobsleigh,Bobsleigh,USA,two-man,M,Silver
1952,Oslo,Ice Hockey,Ice Hockey,USA,ice hockey,M,Silver
1952,Oslo,Skating,Figure skating,USA,individual,M,Bronze
1952,Oslo,Skating,Figure skating,USA,individual,M,Gold
1952,Oslo,Skating,Figure skating,USA,individual,W,Silver
1952,Oslo,Skating,Figure skating,USA,pairs,X,Silver
1952,Oslo,Skating,Speed skating,USA,500m,M,Gold
1952,Oslo,Skating,Speed skating,USA,500m,M,Silver
1952,Oslo,Skiing,Alpine Skiing,USA,giant slalom,W,Gold
1952,Oslo,Skiing,Alpine Skiing,USA,slalom,W,Gold
1956,Cortina d'Ampezzo,Skating,Figure skating,AUT,individual,W,Bronze
1956,Cortina d'Ampezzo,Skating,Figure skating,AUT,pairs,X,Gold
1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,AUT,downhill,M,Bronze
1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,AUT,downhill,M,Gold
1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,AUT,giant slalom,M,Bronze
1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,AUT,giant slalom,M,Gold
1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,AUT,giant slalom,M,Silver
1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,AUT,giant slalom,W,Bronze
1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,AUT,giant slalom,W,Silver
1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,AUT,slalom,M,Gold
1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,AUT,slalom,W,Silver
1956,Cortina d'Ampezzo,Ice Hockey,Ice Hockey,CAN,ice hockey,M,Bronze
1956,Cortina d'Ampezzo,Skating,Figure skating,CAN,pairs,X,Silver
1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,CAN,downhill,W,Bronze
1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,EUA,giant slalom,W,Gold
1956,Cortina d'Ampezzo,Skiing,Ski Jumping,EUA,K90 individual (70m),M,Bronze
1956,Cortina d'Ampezzo,Skating,Speed skating,FIN,1500m,M,Bronze
1956,Cortina d'Ampezzo,Skiing,Cross Country S,FIN,30km mass start,M,Gold
1956,Cortina d'Ampezzo,Skiing,Cross Country S,FIN,3x5km relay,W,Gold
1956,Cortina d'Ampezzo,Skiing,Cross Country S,FIN,4x10km relay,M,Silver
1956,Cortina d'Ampezzo,Skiing,Cross Country S,FIN,50km,M,Silver
1956,Cortina d'Ampezzo,Skiing,Ski Jumping,FIN,K90 individual (70m),M,Gold
1956,Cortina d'Ampezzo,Skiing,Ski Jumping,FIN,K90 individual (70m),M,Silver
1956,Cortina d'Ampezzo,Skating,Figure skating,HUN,pairs,X,Bronze
1956,Cortina d'Ampezzo,Bobsleigh,Bobsleigh,ITA,four-man,M,Silver
1956,Cortina d'Ampezzo,Bobsleigh,Bobsleigh,ITA,two-man,M,Gold
1956,Cortina d'Ampezzo,Bobsleigh,Bobsleigh,ITA,two-man,M,Silver
1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,JPN,slalom,M,Silver
1956,Cortina d'Ampezzo,Skating,Speed skating,NOR,10000m,M,Silver
1956,Cortina d'Ampezzo,Skating,Speed skating,NOR,500m,M,Bronze
1956,Cortina d'Ampezzo,Skiing,Cross Country S,NOR,15km,M,Gold
1956,Cortina d'Ampezzo,Skiing,Nordic Combined,NOR,individual,M,Gold
1956,Cortina d'Ampezzo,Skiing,Nordic Combined,POL,individual,M,Bronze
1956,Cortina d'Ampezzo,Bobsleigh,Bobsleigh,SUI,four-man,M,Gold
1956,Cortina d'Ampezzo,Bobsleigh,Bobsleigh,SUI,two-man,M,Bronze
1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,SUI,downhill,M,Silver
1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,SUI,downhill,W,Gold
1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,SUI,downhill,W,Silver
1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,SUI,slalom,W,Gold
1956,Cortina d'Ampezzo,Skating,Speed skating,SWE,10000m,M,Gold
1956,Cortina d'Ampezzo,Skating,Speed skating,SWE,5000m,M,Silver
1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,SWE,slalom,M,Bronze
1956,Cortina d'Ampezzo,Skiing,Cross Country S,SWE,10km,W,Bronze
1956,Cortina d'Ampezzo,Skiing,Cross Country S,SWE,15km,M,Silver
1956,Cortina d'Ampezzo,Skiing,Cross Country S,SWE,30km mass start,M,Silver
1956,Cortina d'Ampezzo,Skiing,Cross Country S,SWE,3x5km relay,W,Bronze
1956,Cortina d'Ampezzo,Skiing,Cross Country S,SWE,4x10km relay,M,Bronze
1956,Cortina d'Ampezzo,Skiing,Cross Country S,SWE,50km,M,Gold
